"IdClient","GroupeClient","NomClient","CategorieNomClient","ContactPrincipal","Telephone","SiteWeb","MethodeLivraison","VilleEtat"
"1","Jouets à queue","Tailspin Toys (siège social)","Boutique de nouveautés","Waldemar Fisar","(308) 555-0100","http://www.tailspintoys.com","Voiture de livraison","Lisco (Nebraska)"
"2","Jouets à queue","Jouets Tailspin (Sylvanite, MT)","Boutique de nouveautés","Lorena Cindric","(406) 555-0100","http://www.tailspintoys.com/Sylvanite","Voiture de livraison","Sylvanite (Montana)"
"3","Jouets à queue","Jouets Tailspin (Peeples Valley, Arizona)","Boutique de nouveautés","Bhaargav Rambhatla","(480) 555-0100","http://www.tailspintoys.com/PeeplesValley","Voiture de livraison","Vallée de Peeples (Arizona)"
"4","Jouets à queue","Jouets Tailspin (Medicine Lodge, KS)","Boutique de nouveautés","Daniel Romain","(316) 555-0100","http://www.tailspintoys.com/MedicineLodge","Voiture de livraison","Médecine Lodge (Kansas)"
"5","Jouets à queue","Jouets Tailspin (Gasport, État de New York)","Boutique de nouveautés","Johanna Huiting","(212) 555-0100","http://www.tailspintoys.com/Gasport","Voiture de livraison","Gasport (New York)"
"6","Jouets à queue","Jouets Tailspin (Jessie, ND)","Boutique de nouveautés","Biswajeet Thakur","(701) 555-0100","http://www.tailspintoys.com/Jessie","Voiture de livraison","Jessie (Dakota du Nord)"
"7","Jouets à queue","Jouets Tailspin (Frankewing, Tennessee)","Boutique de nouveautés","Kalidas Nadar","(423) 555-0100","http://www.tailspintoys.com/Frankewing","Voiture de livraison","Frankewing (Tennessee)"
"8","Jouets à queue","Jouets Tailspin (Bow Mar, Colorado)","Boutique de nouveautés","Kanti Kotadia","(303) 555-0100","http://www.tailspintoys.com/BowMar","Voiture de livraison","Bow Mar (Colorado)"
"9","Jouets à queue","Jouets Tailspin (Netcong, NJ)","Boutique de nouveautés","Sointu Aalto","(201) 555-0100","http://www.tailspintoys.com/Netcong","Voiture de livraison","Netcong (New Jersey)"
"10","Jouets à queue","Jouets Tailspin (Wimbledon, Dakota du Nord)","Boutique de nouveautés","Siddhartha Parkar","(701) 555-0100","http://www.tailspintoys.com/Wimbledon","Voiture de livraison","Wimbledon (Dakota du Nord)"
"11","Jouets à queue","Jouets Tailspin (Devault, Pennsylvanie)","Boutique de nouveautés","Elnaz Javan","(215) 555-0100","http://www.tailspintoys.com/Devault","Voiture de livraison","Devault (Pennsylvanie)"
"12","Jouets à queue","Tailspin Toys (Biscaye, MN)","Boutique de nouveautés","Héloisa Fernandes","(218) 555-0100","http://www.tailspintoys.com/Biscay","Voiture de livraison","Biscaye (Minnesota)"
"13","Jouets à queue","Jouets Tailspin (Stonefort, Illinois)","Boutique de nouveautés","Razeena Hosseini","(217) 555-0100","http://www.tailspintoys.com/Stonefort","Voiture de livraison","Stonefort (Illinois)"
"14","Jouets à queue","Jouets Tailspin (Long Meadow, MD)","Boutique de nouveautés","Tereza Valentova","(240) 555-0100","http://www.tailspintoys.com/LongMeadow","Voiture de livraison","Long Meadow (Maryland)"
"15","Jouets à queue","Jouets Tailspin (Batson, Texas)","Boutique de nouveautés","Filips Jaunzems","(210) 555-0100","http://www.tailspintoys.com/Batson","Voiture de livraison","Batson (Texas)"
"16","Jouets à queue","Jouets Tailspin (Coney Island, MO)","Boutique de nouveautés","Nitin Matondkar","(314) 555-0100","http://www.tailspintoys.com/ConeyIsland","Voiture de livraison","Coney Island (Missouri)"
"17","Jouets à queue","Jouets Tailspin (East Fultonham, OH)","Boutique de nouveautés","Adam Kubat","(216) 555-0100","http://www.tailspintoys.com/EastFultonham","Voiture de livraison","East Fultonham (Ohio)"
"18","Jouets à queue","Jouets Tailspin (Goffstown, New Hampshire)","Boutique de nouveautés","Isabelle Vodlan","(603) 555-0100","http://www.tailspintoys.com/Goffstown","Voiture de livraison","Goffstown (New Hampshire)"
"19","Jouets à queue","Jouets Tailspin (Lemeta, AK)","Boutique de nouveautés","Mithun Bhattacharya","(907) 555-0100","http://www.tailspintoys.com/Lemeta","Voiture de livraison","Léméta (Alaska)"
"20","Jouets à queue","Jouets Tailspin (College Place, WA)","Boutique de nouveautés","Nghi Hua","(206) 555-0100","http://www.tailspintoys.com/CollegePlace","Voiture de livraison","Place du Collège (Washington)"
"21","Jouets à queue","Jouets Tailspin (Tresckow, Pennsylvanie)","Boutique de nouveautés","Duleep Raju","(215) 555-0100","http://www.tailspintoys.com/Tresckow","Voiture de livraison","Tresckow (Pennsylvanie)"
"22","Jouets à queue","Jouets Tailspin (Ward Ridge, Floride)","Boutique de nouveautés","Cristina Longo","(239) 555-0100","http://www.tailspintoys.com/WardRidge","Voiture de livraison","Ward Ridge (Floride)"
"23","Jouets à queue","Jouets Tailspin (Ikatan, AK)","Boutique de nouveautés","Hang Tang","(907) 555-0100","http://www.tailspintoys.com/Ikatan","Voiture de livraison","Ikatan (Alaska)"
"24","Jouets à queue","Jouets Tailspin (Dundaarrach, Caroline du Nord)","Boutique de nouveautés","Intira Mookjaï","(252) 555-0100","http://www.tailspintoys.com/Dundarrach","Voiture de livraison","Dundarrach (Caroline du Nord)"
"25","Jouets à queue","Jouets Tailspin (Avenal, Californie)","Boutique de nouveautés","Sulabha Khalsa","(209) 555-0100","http://www.tailspintoys.com/Avenal","Voiture de livraison","Avenal (Californie)"
"26","Jouets à queue","Jouets Tailspin (Hedrick, IA)","Boutique de nouveautés","Dhanishta Majji","(319) 555-0100","http://www.tailspintoys.com/Hedrick","Voiture de livraison","Hédrick (Iowa)"
"27","Jouets à queue","Jouets Tailspin (Bowlus, Minnesota)","Boutique de nouveautés","Paula González","(218) 555-0100","http://www.tailspintoys.com/Bowlus","Voiture de livraison","Bowlus (Minnesota)"
"28","Jouets à queue","Jouets Tailspin (North Ridge, État de New York)","Boutique de nouveautés","Tatjana Utjesenovic","(212) 555-0100","http://www.tailspintoys.com/NorthRidge","Voiture de livraison","Crête Nord (New York)"
"29","Jouets à queue","Jouets Tailspin (Eulaton, AL)","Boutique de nouveautés","Karel Hanak","(205) 555-0100","http://www.tailspintoys.com/Eulaton","Voiture de livraison","Eulaton (Alabama)"
"30","Jouets à queue","Jouets Tailspin (Koontzville, Washington)","Boutique de nouveautés","Odessa Schneider","(206) 555-0100","http://www.tailspintoys.com/Koontzville","Voiture de livraison","Koontzville (Washington)"
"31","Jouets à queue","Jouets Tailspin (Lake Stevens, WA)","Boutique de nouveautés","Kimberly Pace","(206) 555-0100","http://www.tailspintoys.com/LakeStevens","Voiture de livraison","Lac Stevens (Washington)"
"32","Jouets à queue","Jouets Tailspin (Maypearl, Texas)","Boutique de nouveautés","Nikolajs Kalejs","(210) 555-0100","http://www.tailspintoys.com/Maypearl","Voiture de livraison","Perle de mai (Texas)"
"33","Jouets à queue","Jouets Tailspin (Boyden Arbor, Caroline du Sud)","Boutique de nouveautés","Haasini Rai","(803) 555-0100","http://www.tailspintoys.com/BoydenArbor","Voiture de livraison","Boyden Arbour (Caroline du Sud)"
"34","Jouets à queue","Jouets Tailspin (Dallardsville, Texas)","Boutique de nouveautés","Anjali Asthana","(210) 555-0100","http://www.tailspintoys.com/Dallardsville","Voiture de livraison","Dallardsville (Texas)"
"35","Jouets à queue","Jouets Tailspin (Slanesville, Virginie-Occidentale)","Boutique de nouveautés","Shah Omidi","(304) 555-0100","http://www.tailspintoys.com/Slanesville","Voiture de livraison","Slanesville (Virginie occidentale)"
"36","Jouets à queue","Jouets Tailspin (Ekron, Kentucky)","Boutique de nouveautés","Ferhat Celik","(270) 555-0100","http://www.tailspintoys.com/Ekron","Voiture de livraison","Ékron (Kentucky)"
"37","Jouets à queue","Jouets Tailspin (Kerby, Oregon)","Boutique de nouveautés","Dayarama Kamei","(458) 555-0100","http://www.tailspintoys.com/Kerby","Voiture de livraison","Kerby (Oregon)"
"38","Jouets à queue","Jouets Tailspin (Airport Drive, MO)","Boutique de nouveautés","Nils Kalnins","(314) 555-0100","http://www.tailspintoys.com/AirportDrive","Voiture de livraison","Aéroport Drive (Missouri)"
"39","Jouets à queue","Jouets Tailspin (Diablock, KY)","Boutique de nouveautés","Ashish Acharya","(270) 555-0100","http://www.tailspintoys.com/Diablock","Voiture de livraison","Diablock (Kentucky)"
"40","Jouets à queue","Jouets Tailspin (Impact, Texas)","Boutique de nouveautés","Alena Prikrylova","(210) 555-0100","http://www.tailspintoys.com/Impact","Voiture de livraison","Impacter (Texas)"
"41","Jouets à queue","Jouets Tailspin (Olivette, MO)","Boutique de nouveautés","Lana Rozej","(314) 555-0100","http://www.tailspintoys.com/Olivette","Voiture de livraison","Olivette (Missouri)"
"42","Jouets à queue","Jouets Tailspin (Arietta, NY)","Boutique de nouveautés","Chandrakanta Raut","(212) 555-0100","http://www.tailspintoys.com/Arietta","Voiture de livraison","Ariette (New York)"
"43","Jouets à queue","Jouets Tailspin (Upper Preston, WA)","Boutique de nouveautés","Ganapati Gadiyaram","(206) 555-0100","http://www.tailspintoys.com/UpperPreston","Voiture de livraison","Upper Preston (Washington)"
"44","Jouets à queue","Jouets Tailspin (Amanda Park, Washington)","Boutique de nouveautés","Adrijana Blagojevic","(206) 555-0100","http://www.tailspintoys.com/AmandaPark","Voiture de livraison","Parc Amanda (Washington)"
"45","Jouets à queue","Jouets Tailspin (Severna Park, MD)","Boutique de nouveautés","Lap Dinh","(240) 555-0100","http://www.tailspintoys.com/SevernaPark","Voiture de livraison","Parc Severna (Maryland)"
"46","Jouets à queue","Jouets Tailspin (Jemison, AL)","Boutique de nouveautés","Didem ozCelik","(205) 555-0100","http://www.tailspintoys.com/Jemison","Voiture de livraison","Jemison (Alabama)"
"47","Jouets à queue","Jouets Tailspin (Lake Hughes, Californie)","Boutique de nouveautés","Serhat Akboulout","(209) 555-0100","http://www.tailspintoys.com/LakeHughes","Voiture de livraison","Lac Hughes (Californie)"
"48","Jouets à queue","Jouets Tailspin (Trentwood, Washington)","Boutique de nouveautés","Daniela Barrios","(206) 555-0100","http://www.tailspintoys.com/Trentwood","Voiture de livraison","Trentwood (Washington)"
"49","Jouets à queue","Jouets Tailspin (Muir, MI)","Boutique de nouveautés","Julia Slobodova","(231) 555-0100","http://www.tailspintoys.com/Muir","Voiture de livraison","Muir (Michigan)"
"50","Jouets à queue","Jouets Tailspin (Hambleton, Virginie-Occidentale)","Boutique de nouveautés","Marcela Jankova","(304) 555-0100","http://www.tailspintoys.com/Hambleton","Voiture de livraison","Hambleton (Virginie occidentale)"
